merchant,category
Uber 041521 NYC**POOL**,Transportation
Lyft 051322 LA**SHARE**,Transportation
Delta Air Lines,Transportation
American Airlines,Transportation
Spirit Airlines,Transportation
MORTGAGE PAYMENT,Housing
RENT PAYMENT,Housing
ELECTRICITY BILL,Utilities
GAS BILL,Utilities
CABLE TV,Utilities
WATER BILL,Utilities
Chipotle,Food
Olive Garden,Food
Outback Steakhouse,Food
Panera Bread,Food
PAYCHECK DEPOSIT,Payments
TAX REFUND,Payments
BONUS PAYMENT,Payments
INTEREST EARNED,Payments
AMC Theatres,Entertainment
Dave & Buster's,Entertainment
Top Golf,Entertainment
Escape Room Adventure,Entertainment
Netflix,Subscriptions
Hulu,Subscriptions
Spotify,Subscriptions
Adobe Creative Cloud,Subscriptions
Costco,Shopping
Ikea,Shopping
Home Depot,Shopping
Lowe's,Shopping
Uber 072615 SF**POOL**,Transportation
Lyft 081122 SEA**SHARE**,Transportation
Southwest Airlines,Transportation
JetBlue Airways,Transportation
United Airlines,Transportation
STUDENT LOAN PAYMENT,Payments
AUTO LOAN PAYMENT,Payments
CREDIT CARD PAYMENT,Payments
INSURANCE PAYMENT,Utilities
PHONE BILL,Utilities
McDonald's,Food
Burger King,Food
Wendy's,Food
Taco Bell,Food
SALARY DEPOSIT,Payments
INVESTMENT INCOME,Payments
DIVIDEND PAYMENT,Payments
CAPITAL GAINS,Payments
Movie Tavern,Entertainment
Bowling Alley,Entertainment
Laser Tag Arena,Entertainment
Mini Golf Course,Entertainment
Spotify Premium,Subscriptions
Amazon Prime,Subscriptions
Xbox Live Gold,Subscriptions
PlayStation Plus,Subscriptions
Nordstrom,Shopping
Sephora,Shopping
Ulta Beauty,Shopping
Lululemon Athletica,Shopping
Uber 102821 CHI**POOL**,Transportation
Lyft 112622 MIA**SHARE**,Transportation
Frontier Airlines,Transportation
Allegiant Air,Transportation
Hawaiian Airlines,Transportation
HOME REPAIR SERVICE,Housing
LAWN CARE SERVICE,Housing
PEST CONTROL SERVICE,Housing
APPLIANCE REPAIR,Housing
INTERNET SERVICE,Utilities
HEATING OIL DELIVERY,Utilities
Buffalo Wild Wings,Food
Applebee's,Food
Chili's,Food
TFSA Contribution,Payments
RRSP Contribution,Payments
401K Contribution,Payments
Roth IRA Contribution,Payments
Movie Tickets,Entertainment
Concert Tickets,Entertainment
Sporting Event Tickets,Entertainment
Theatre Show Tickets,Entertainment
YouTube Premium,Subscriptions
Dropbox Plus,Subscriptions
Microsoft Office 365,Subscriptions
Grammarly Premium,Subscriptions
eBay,Shopping
Etsy,Shopping
Wayfair,Shopping
Overstock.com,Shopping
Uber 032123 DEN**POOL**,Transportation
Lyft 041824 ATL**SHARE**,Transportation
Frontier Airlines,Transportation
Spirit Airlines,Transportation
Sun Country Airlines,Transportation
CONDO FEES,Housing
HOA DUES,Housing
PROPERTY TAX,Housing
HOME INSURANCE,Utilities
CELL PHONE PLAN,Utilities
Starbucks,Food
Dunkin' Donuts,Food
Subway,Food
Domino's Pizza,Food
FREELANCE PAYMENT,Payments
INVESTMENT WITHDRAWAL,Payments
INHERITANCE PAYOUT,Payments
LEGAL SETTLEMENT,Payments
Bowling Party,Entertainment
Karaoke Night,Entertainment
Comedy Club,Entertainment
Museum Admission,Entertainment
Amazon Music Unlimited,Subscriptions
iCloud Storage,Subscriptions
Adobe Acrobat Pro DC,Subscriptions
Calm Premium,Subscriptions
REI,Shopping
Dick's Sporting Goods,Shopping
Cabela's,Shopping
Bass Pro Shops,Shopping
Uber 061524 BOS**POOL**,Transportation
Lyft 072325 PHI**SHARE**,Transportation
JetBlue Airways,Transportation
Spirit Airlines,Transportation
Frontier Airlines,Transportation
HOUSE CLEANING SERVICE,Housing
POOL MAINTENANCE,Housing
CARPET CLEANING,Housing
PAINTING SERVICE,Housing
TRASH REMOVAL SERVICE,Utilities
SECURITY SYSTEM,Utilities
Cheesecake Factory,Food
P.F. Chang's,Food
Red Lobster,Food
STOCK TRADE,Payments
CRYPTO PURCHASE,Payments
ONLINE GAMBLING WINNINGS,Payments
LOTTERY WINNINGS,Payments
Go-Kart Racing,Entertainment
Axe Throwing,Entertainment
Indoor Skydiving,Entertainment
Zipline Adventure,Entertainment
Disney Plus,Subscriptions
Apple TV Plus,Subscriptions
Audible Premium Plus,Subscriptions
MasterClass,Subscriptions
Nike,Shopping
Adidas,Shopping
Under Armour,Shopping
Levi's,Shopping
Uber 091026 MIA**POOL**,Transportation
Lyft 102927 LAS**SHARE**,Transportation
Southwest Airlines,Transportation
Alaska Airlines,Transportation
Hawaiian Airlines,Transportation
MORTGAGE REFINANCE COSTS,Housing
MOVING EXPENSES,Housing
HOME REPAIRS,Housing
FURNITURE ASSEMBLY,Housing
TRASH SERVICE,Utilities
PEST CONTROL SERVICE,Utilities
TGI Fridays,Food
Ruby Tuesday,Food
Cracker Barrel,Food
BONUS PAYMENT,Payments
SEVERANCE PAYMENT,Payments
ROYALTY PAYMENT,Payments
INSURANCE CLAIM PAYOUT,Payments
Escape Room,Entertainment
Virtual Reality Experience,Entertainment
Trampoline Park,Entertainment
Rock Climbing Gym,Entertainment
YouTube TV,Subscriptions
DirecTV Stream,Subscriptions
